identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_P44,1492,192.168.161.96/27,192.168.161.96,27,192.168.161.97,192.168.161.98-192.168.161.126,192.168.161.98,192.168.161.126,192.168.161.97,192.168.161.126,192.168.161.127
EWT_P48,1493,192.168.161.128/27,192.168.161.128,27,192.168.161.129,192.168.161.130-192.168.161.158,192.168.161.130,192.168.161.158,192.168.161.129,192.168.161.158,192.168.161.159
EWT_P50,1494,192.168.161.160/27,192.168.161.160,27,192.168.161.161,192.168.161.162-192.168.161.190,192.168.161.162,192.168.161.190,192.168.161.161,192.168.161.190,192.168.161.191
EWT_P51,1495,192.168.161.192/27,192.168.161.192,27,192.168.161.193,192.168.161.194-192.168.161.222,192.168.161.194,192.168.161.222,192.168.161.193,192.168.161.222,192.168.161.223
EWT_P52,1496,192.168.161.224/27,192.168.161.224,27,192.168.161.225,192.168.161.226-192.168.161.254,192.168.161.226,192.168.161.254,192.168.161.225,192.168.161.254,192.168.161.255
EWT_P53,1497,192.168.162.0/27,192.168.162.0,27,192.168.162.1,192.168.162.2-192.168.162.30,192.168.162.2,192.168.162.30,192.168.162.1,192.168.162.30,192.168.162.31
EWT_P55,1498,192.168.162.32/27,192.168.162.32,27,192.168.162.33,192.168.162.34-192.168.162.62,192.168.162.34,192.168.162.62,192.168.162.33,192.168.162.62,192.168.162.63
EWT_P56,1499,192.168.162.64/27,192.168.162.64,27,192.168.162.65,192.168.162.66-192.168.162.94,192.168.162.66,192.168.162.94,192.168.162.65,192.168.162.94,192.168.162.95
EWT_P57,1500,192.168.162.96/27,192.168.162.96,27,192.168.162.97,192.168.162.98-192.168.162.126,192.168.162.98,192.168.162.126,192.168.162.97,192.168.162.126,192.168.162.127
EWT_P63,1501,192.168.162.128/27,192.168.162.128,27,192.168.162.129,192.168.162.130-192.168.162.158,192.168.162.130,192.168.162.158,192.168.162.129,192.168.162.158,192.168.162.159
EWT_P64,1502,192.168.162.160/27,192.168.162.160,27,192.168.162.161,192.168.162.162-192.168.162.190,192.168.162.162,192.168.162.190,192.168.162.161,192.168.162.190,192.168.162.191
EWT_P65,1503,192.168.162.192/27,192.168.162.192,27,192.168.162.193,192.168.162.194-192.168.162.222,192.168.162.194,192.168.162.222,192.168.162.193,192.168.162.222,192.168.162.223
HOY_1,1504,192.168.162.224/27,192.168.162.224,27,192.168.162.225,192.168.162.226-192.168.162.254,192.168.162.226,192.168.162.254,192.168.162.225,192.168.162.254,192.168.162.255
HOY_2,1505,192.168.163.0/27,192.168.163.0,27,192.168.163.1,192.168.163.2-192.168.163.30,192.168.163.2,192.168.163.30,192.168.163.1,192.168.163.30,192.168.163.31
HOY_3,1506,192.168.163.32/27,192.168.163.32,27,192.168.163.33,192.168.163.34-192.168.163.62,192.168.163.34,192.168.163.62,192.168.163.33,192.168.163.62,192.168.163.63
HOY_4,1507,192.168.163.64/27,192.168.163.64,27,192.168.163.65,192.168.163.66-192.168.163.94,192.168.163.66,192.168.163.94,192.168.163.65,192.168.163.94,192.168.163.95
HOY_5,1508,192.168.163.96/27,192.168.163.96,27,192.168.163.97,192.168.163.98-192.168.163.126,192.168.163.98,192.168.163.126,192.168.163.97,192.168.163.126,192.168.163.127
HOY_6,1509,192.168.163.128/27,192.168.163.128,27,192.168.163.129,192.168.163.130-192.168.163.158,192.168.163.130,192.168.163.158,192.168.163.129,192.168.163.158,192.168.163.159
HOY_7,1510,192.168.163.160/27,192.168.163.160,27,192.168.163.161,192.168.163.162-192.168.163.190,192.168.163.162,192.168.163.190,192.168.163.161,192.168.163.190,192.168.163.191
HOY_8,1511,192.168.163.192/27,192.168.163.192,27,192.168.163.193,192.168.163.194-192.168.163.222,192.168.163.194,192.168.163.222,192.168.163.193,192.168.163.222,192.168.163.223
HOY_9,1512,192.168.163.224/27,192.168.163.224,27,192.168.163.225,192.168.163.226-192.168.163.254,192.168.163.226,192.168.163.254,192.168.163.225,192.168.163.254,192.168.163.255
HOY_10,1513,192.168.164.0/27,192.168.164.0,27,192.168.164.1,192.168.164.2-192.168.164.30,192.168.164.2,192.168.164.30,192.168.164.1,192.168.164.30,192.168.164.31
HOY_11,1514,192.168.164.32/27,192.168.164.32,27,192.168.164.33,192.168.164.34-192.168.164.62,192.168.164.34,192.168.164.62,192.168.164.33,192.168.164.62,192.168.164.63
HOY_12,1515,192.168.164.64/27,192.168.164.64,27,192.168.164.65,192.168.164.66-192.168.164.94,192.168.164.66,192.168.164.94,192.168.164.65,192.168.164.94,192.168.164.95
HOY_13,1516,192.168.164.96/27,192.168.164.96,27,192.168.164.97,192.168.164.98-192.168.164.126,192.168.164.98,192.168.164.126,192.168.164.97,192.168.164.126,192.168.164.127
HOY_14,1517,192.168.164.128/27,192.168.164.128,27,192.168.164.129,192.168.164.130-192.168.164.158,192.168.164.130,192.168.164.158,192.168.164.129,192.168.164.158,192.168.164.159
HOY_15,1518,192.168.164.160/27,192.168.164.160,27,192.168.164.161,192.168.164.162-192.168.164.190,192.168.164.162,192.168.164.190,192.168.164.161,192.168.164.190,192.168.164.191
HOY_16,1519,192.168.164.192/27,192.168.164.192,27,192.168.164.193,192.168.164.194-192.168.164.222,192.168.164.194,192.168.164.222,192.168.164.193,192.168.164.222,192.168.164.223
HOY_17,1520,192.168.164.224/27,192.168.164.224,27,192.168.164.225,192.168.164.226-192.168.164.254,192.168.164.226,192.168.164.254,192.168.164.225,192.168.164.254,192.168.164.255
HOY_18,1521,192.168.165.0/27,192.168.165.0,27,192.168.165.1,192.168.165.2-192.168.165.30,192.168.165.2,192.168.165.30,192.168.165.1,192.168.165.30,192.168.165.31
HOY_19,1522,192.168.165.32/27,192.168.165.32,27,192.168.165.33,192.168.165.34-192.168.165.62,192.168.165.34,192.168.165.62,192.168.165.33,192.168.165.62,192.168.165.63
HOY_20,1523,192.168.165.64/27,192.168.165.64,27,192.168.165.65,192.168.165.66-192.168.165.94,192.168.165.66,192.168.165.94,192.168.165.65,192.168.165.94,192.168.165.95
HOY_21,1524,192.168.165.96/27,192.168.165.96,27,192.168.165.97,192.168.165.98-192.168.165.126,192.168.165.98,192.168.165.126,192.168.165.97,192.168.165.126,192.168.165.127
HOY_22,1525,192.168.165.128/27,192.168.165.128,27,192.168.165.129,192.168.165.130-192.168.165.158,192.168.165.130,192.168.165.158,192.168.165.129,192.168.165.158,192.168.165.159
